Identifier,"Start Date / Time","End Date / Time",Title,Subtitle,Type,Description,Permalink,"Building Name",Room,"Location Name",Cost,Tags,Sponsors
112503-21829041,"2023-09-29 12:00:00","2023-09-29 13:00:00","2023 Mayors' Forum",,"Lecture / Discussion","Join this virtual mayors panel via livestream or in person at the Watch Party hosted at the University of Michigan's Ford School of Public Policy.

This annual event brings together mayors virtually from cities across the states of the Big Ten in a conversation around timely topics of national importance that manifest at the municipal level. From development of social infrastructure that promotes social cohesion, challenges and opportunities of creating an infrastructure for urban technology, and participation in local elections, four mayors will share insights on how leadership at the city level shapes our national approaches to some of the most pressing issues of the day.

Confirmed Participants:
James Brainard, Mayor of Carmel, IN

Moderated by Jim Throgmorton, Former Mayor of Iowa City, IA and author of Co-Crafting the Just CityTales from the Field by a Planning Scholar Turned Mayor

Live watch party:
This virtual event will have a live watch party for the University of Michigan community at the Gerald R. Ford School of Public Policy's Annenberg Auditorium (1120), Weill Hall, 735. South State Street, Ann Arbor, MI. Portions of the event will be filmed and live streamed from the watch party. All are welcome to attend, lunch will be provided.

Watch Party Schedule:
11:30AM In-person guests arrive to grab lunch (lunch provided)
11:40AM Doors to Annenberg open for seating
11:55AM Doors to Annenberg close for seating
NOON - sharp! Event begins with live introductions from the Ford School of Public Policy Annenberg Auditorium
1:00PM Event concludes

Sponsors:
Big Ten Collaboration: Democracy in the 21st Century
Center for Local, State, and Urban Policy, University of Michigan
Democracy & Debate 2023-’24, University of Michigan
Gerald R. Ford School of Public Policy, University of Michigan
Taubman College of Architecture & Urban Planning, University of Michigan",https://events.umich.edu/event/112503,"Weill Hall (Ford School)","Annenberg Auditorium","Weill Hall (Ford School)",,career,"A. Alfred Taubman College of Architecture + Urban Planning
Gerald R. Ford School of Public Policy"
109827-21823052,"2023-09-29 13:00:00","2023-09-29 16:00:00","Nuclear Engineering and Radiological Sciences Career Fair",,"Careers / Jobs","The Nuclear Engineering and Radiological Sciences Career Fair will be held on Friday, September 29, 2023 from 1:00 PM to 4:00 PM ET. This event is intended to help connect students studying Nuclear Engineering and Radiological Sciences and Engineering Physics with organizations seeking to recruit these students for full-time, internship and/or co-op positions. 

Please note that there is no student registration for this fair.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109827,"Duderstadt Center",,"Duderstadt Center",,Career,"Engineering Career Resource Center
Nuclear Engineering and Radiological Sciences"
110233-21824612,"2023-10-02 00:00:00","2023-10-02 12:00:00","Michigan in Washington Fall 2023 Application Deadline",,Meeting,"The Michigan in Washington program is accepting applications for Winter 2024 and early admission to Fall 2024. The deadline is October 2nd and applications are available on M-Compass. Info Session: September 12th and 19th at 6:00 PM 
https://umich.zoom.us/j/99157149437",https://events.umich.edu/event/110233,,,,,Career,"Michigan in Washington Program"
111415-21827094,"2023-10-02 09:00:00","2023-10-02 12:00:00","Writing, Planning and Literature Review: Enhancing Professional Productivity with Generative AI","Generative AI Tutorial Series","Workshop / Seminar","MIDAS and the Michigan AI Laboratory are offering training on incorporating Generative AI into research. Each session is a half day consisting of lectures, demonstrations, and tutorials. Our first session is detailed below:
 
""Writing, Planning and Literature Review: Enhancing Professional Productivity with Generative AI""

No requirement for prior knowledge. 

Program: 
- A presentation on ethical concerns & considerations of GenAI in research by Dr. H. V. Jagadish (Director, Michigan Institute for Data Science; Edgar F Codd Distinguished University Professor of Electrical Engineering and Computer Science, Bernard A Galler Collegiate Professor of Electrical Engineering and Computer Science, Professor of Electrical Engineering and Computer Science, College of Engineering)

- a tutorial on using various GenAI to enhance your research workflow by Dr. James Boyko (Schmidt AI in Science Postdoctoral Fellow, Michigan Institute for Data Science)

Save the dates for these upcoming sessions: 

- October 18, 2023: Code Smarter, Not Harder: Harnessing Generative AI for Research Programming Efficiency

- October 25, 2023: Integrating Generative AI into Your Research Workflow

- November 29, 2023: Making Generative AI Better for You: Fine-tuning and Experimentation for Custom Research Solutions",https://events.umich.edu/event/111415,"Lurie Robert H. Engin. Ctr","Johnson Rooms, 3rd Floor","Lurie Robert H. Engin. Ctr",,Career,"Michigan Institute for Data Science
Michigan Artificial Intelligence Laboratory"
112080-21828407,"2023-10-02 17:30:00","2023-10-02 19:00:00","DPR Construction - Corporate Information Session",,"Careers / Jobs","Come network with recruiters and learn more about professional development in a casual environment! Anyone is welcome to attend.

Majors: ALL Engineering Majors, Architecture, Civil Engineering, Electrical Engineering, Mechanical Engineering

Positions: Full-time, Intern, Co-op
Degrees: Bachelors, Masters, PhD
US Citizenship or Permanent Resident
Resumes collected: Yes

This will be a company info session where our representatives will give a presentation about our company (45 minutes to an hour) and welcome any questions from the audience. We will also be conducting on-campus interviews over the following two days. 

DPR Construction is a forward-thinking, self-performing general contractor and construction manager specializing in technically complex and sustainable projects for the advanced technology/mission critical, life sciences, healthcare, higher education and commercial markets. Ranked among the top 50 general contractors in the country since 1997, DPR executes every project with relentless accountability, whether it is a multi-million-dollar new construction or a conference room renovation.

Founded in 1990, DPR is a great story of entrepreneurial success. DPR has ranked for five consecutive years on FORTUNE's “100 Best Companies to Work For” list: in 2010 at #57, in 2011 at #22, in 2012 at #13, in 2013 at #15, and in 2014 at #10.

Email swe.car.pub@umich.edu with any questions!",https://events.umich.edu/event/112080,"Electrical Engineering and Computer Science Building",1200,"Electrical Engineering and Computer Science Building",,Career,"Society of Women Engineers"
109828-21823053,"2023-10-03 12:30:00","2023-10-03 16:00:00","Civil and Environmental Engineering Career Fair",,"Careers / Jobs","The Civil and Environmental Engineering Career Fair will be held on Tuesday, October 3, 2023 from 12:30-4:00 PM ET. This event is intended to help connect students studying programs offered through the Civil and Environmental Engineering Department with organizations seeking to recruit these students for full-time, internship and/or co-op positions.

Please note that there is no student registration for this fair.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109828,"Duderstadt Center",,"Duderstadt Center",,Career,"Engineering Career Resource Center
Civil and Environmental Engineering"
111473-21827162,"2023-10-04 17:00:00","2023-10-04 18:30:00","+Tech Literacy Download: Closing Keynote, Working in the Age of GenAI","Scott Holcomb, GenAI Consulting Transformation Leader (Deloitte Consulting)","Conference / Symposium","As GenAI technologies continue to reshape our world, you're invited to explore their profound impacts on our daily lives. Delve into an engaging dialogue with Deloitte, a trailblazing tech consulting leader, and gain invaluable insights into the ethical dimensions, challenges, and opportunities that GenAI presents.

Discover how you can harness GenAI's potential to enhance your personal and professional journey, aligning with its transformative capabilities. Plus, don't miss the chance to extend your experience into a networking hour with Deloitte professionals, where you can delve deeper into the exciting prospects of working in the age of GenAI.

Session Categories: Emerging Tech, Tech Tools 

~~Dinner Provided~~",https://events.umich.edu/event/111473,"1027 E. Huron Building",,"1027 E. Huron Building",,Career,"Business+Tech at Michigan Ross"
109834-21823062,"2023-10-05 12:00:00","2023-10-05 15:00:00","Company Day",,"Careers / Jobs","Company Days provide organizations with an opportunity to recruit Michigan Engineering students and/or have casual conversations to enhance an organization’s visibility and increase brand awareness. Company Days allow students the opportunity to engage with organizations for recruitment and networking purposes.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109834,"Duderstadt Center",,"Duderstadt Center",,Career,"Engineering Career Resource Center"
109974-21823492,"2023-10-05 12:00:00","2023-10-05 13:00:00","Interview Essentials: Achieve Interview Success",,"Careers / Jobs","A job interview can pop up quickly. Be ready and know how to prepare to ensure you achieve success and get the job offer. Learn about the interview process many engineering students face, different interview modalities (recorded, phone, virtual, in-person) and strategies for managing behavioral based interview questions.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS

This is a College of Engineering event.",https://events.umich.edu/event/109974,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
109830-21823055,"2023-10-06 10:00:00","2023-10-06 14:00:00","Robotics Career Fair",,"Careers / Jobs","The Robotics Career Fair will be held on October 6, 2023 from 10 AM-2 PM ET. 

Please note that students do not need to register for this fair.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109830,"Ford Robotics Building",,"Ford Robotics Building",,Career,"Engineering Career Resource Center
Michigan Robotics"
109829-21823054,"2023-10-06 12:00:00","2023-10-06 15:00:00","Virtual Engineering Career Fair",,"Careers / Jobs","The Virtual Engineering Career Fair will be held on Friday, October 6, 2023 from 12-3 PM ET. This event is intended to help employers connect with students studying programs offered through the College of Engineering, as well as LSA Computer Science and Data Science students for full-time, internship and co-op employment opportunities.

CoE and LSA Computer Science and Data Science student registration will open on 10/4 at 7pm ET.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109829,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
111414-21826999,"2023-10-09 13:30:00","2023-10-09 15:30:00","Staff Collective for Data Science","Fall 2023 Meet and Greet","Social / Informal Gathering","**Note the updated date & location**

Kick off the school year with the U-M Staff Collective for Data Science (SCDS), a community of U-M staff who use data science and AI in their jobs or are developing data science and AI skills. We aim to augment the group’s expertise and increase their impact on campus, and support the research and career endeavors of our members.If you have not yet joined SCDS, fill out the membership form.

Program

- “Hiring, Managing, and Retaining Data Scientists and Research Software Engineers in Academia.” Presented by Dr. Jing Liu, Executive Director, MIDAS. The Academic Data Science Alliance and the US Software Engineers Association recently published this guidebook (https://zenodo.org/record/8264153) for university leadership, hiring managers, supervisor and staff scientists. As one of the lead authors, Dr. Jing Liu will present the key takeaways from the book, especially recommendations for staff scientists. The group will then discuss how SCDS can support its members in skill development and career advancement.
 
- Ideas pitch - sign up to give a short pitch about an activity that you want to suggest for the group, a project that you want to seek collaborators for, an idea that you need feedback on, a research tool that you want others to know, or other interesting topics.
    
- Networking time",https://events.umich.edu/event/111414,"Michigan Union","2210 AB","Michigan Union",,Career,"Michigan Institute for Data Science"
111444-21827129,"2023-10-09 18:00:00","2023-10-09 19:00:00","IOE Career Workshop: Negotiate an Offer to Get the Best Deal",,"Workshop / Seminar","Join experts in negotiation and a recent IOE grad to learn tips on how to negotiate with confidence. Food provided!

Learn how to negotiate with confidence and increase your value. Many students don't realize that they should not accept the first offer they receive without entering negotiations to try and get a better deal. Attend this workshop to learn tips on how to confidently negotiate and understand the rules of engagement.",https://events.umich.edu/event/111444,"Industrial and Operations Engineering Building",1610,"Industrial and Operations Engineering Building",,Career,"U-M Industrial & Operations Engineering"
112247-21828650,"2023-10-10 12:00:00","2023-10-10 13:30:00","Leveraging LinkedIn to Elevate your Career (and you!)","Tristan Layfield, Career Coach & Resume Writer","Workshop / Seminar","RSVP here: https://www.eventbrite.com/e/718551826857

This interactive workshop will be paired with the opportunity to have a FREE professional headshot taken by a photographer onsite. Lunch will be provided. Headshot sign-up available afterward until 3pm. Free. Registration required.  

Most of us know about LinkedIn and the powerful large professional network that it has become for job seeking, professional advancement and building networks. But, do you know how to use the power of LinkedIn to position yourself in order to maximize visibility and opportunities? Join CEW+ for this informative workshop as we review key strategies for:

- Utilizing LinkedIn's job-seeking settings 
- Leveraging key real estate on your profile 
- Expanding your network 
- Understanding All-Star Status and why it’s important
- Branding yourself through content and the importance of engagement 

Presenter Bio:
Tristan Layfield is a career coach and resume writer who has helped over 1,000 people identify and leverage their unique value proposition to transition their careers. His practice, rooted in personal leadership and self-advocacy, helps empower job seekers to effectively communicate their value to attract their ideal jobs and employers. With his work featured on major platforms such as LinkedIn, Business Insider, Black Enterprise, and The Muse, Tristan aims to help job seekers build professional brands that transform their mindset and job search.",https://events.umich.edu/event/112247,"Center for the Education of Women",,"Center for the Education of Women",,Career,CEW+
110518-21825008,"2023-10-10 18:00:00","2023-10-10 19:00:00","Interview Practice and CV Design","For Graduate School Applications and Science-Based Careers","Workshop / Seminar","This seminar will cover what to expect with graduate school interviews (and those in academia generally), as well as how to design a CV vs a resume. There will be interview practice in small groups during the second half. This event is hybrid.

RSVP: https://linktr.ee/FIRST_Org",https://events.umich.edu/event/110518,"Biological Sciences Building",1010,"Biological Sciences Building",,Career,"Futures in Research, Science, Teaching - FIRST"
109835-21823063,"2023-10-11 12:00:00","2023-10-11 15:00:00","Company Day",,"Careers / Jobs","Company Days provide organizations with an opportunity to recruit Michigan Engineering students and/or have casual conversations to enhance an organization’s visibility and increase brand awareness. Company Days allow students the opportunity to engage with organizations for recruitment and networking purposes.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109835,"Duderstadt Center",,"Duderstadt Center",,Career,"Engineering Career Resource Center"
110459-21824944,"2023-10-12 12:00:00","2023-10-12 13:00:00","The Definitive LinkedIn Bootcamp",,"Careers / Jobs","The LinkedIn Guys Present: The Definitive LinkedIn Bootcamp, hosted by the Engineering Career Resource Center (ECRC)    

Join Jeremy Schifeling, a Michigan Alum and former LinkedIn insider for this interactive session and learn how to hack the hiring process using LinkedIn. Whether you’re a current LinkedIn user or brand new to it, it’s essential that you master the foundational techniques that will turbocharge your career.

Join and discover:

The special $10,000 recruiter version of LinkedIn that can make or break your chances of getting noticed.

The two parts of your profile that drive most of LinkedIn’s search algorithm - and the one part that doesn’t matter (but that millions of users waste time on)!

The Boolean search techniques that can help you track down any company insider, 10Xing your chances of landing an interview.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS

More information in Engineering Careers, by 12twenty.

This is a College of Engineering event.",https://events.umich.edu/event/110459,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
110454-21824939,"2023-10-12 14:00:00","2023-10-12 16:00:00","Humanities Mindsets","A Humanities Career Connections Workshop","Workshop / Seminar","Register for this workshop at https://myumi.ch/W24xd.

Presented by the Institute for the Humanities, Rackham Graduate School, and the University Career Center, this series of events is intended to support humanities graduate students from across fields in exploring and preparing for the diverse career paths available to them. Students may attend events individually, but may find it especially helpful to attend each in progression.

About today's workshop:
Led by Derek Attig and Mearah Quinn-Brauner, the Humanities Mindsets workshop invites participants to experiment with using humanistic modes of thinking in conversations about jobs and careers. The workshop adapts a form used in many career workshops: having participants reflect on their experiences and the experiences of their peers using shared terms. But instead of an unfamiliar (and potentially alienating) vocabulary of “skills” or “values,” we guide participants in using theoretical frameworks from the humanities to analyze those experiences. Our hope is that the workshop helps humanists see their working lives as worthy of deep, critical, and playful intellectual engagement—and equips them to help one another to make stronger and more confident career decisions.

About the presenters:
Derek Attig is the assistant dean for career & professional development at the University of Illinois. Mearah Quinn-Brauner is the senior director for strategy and policy at Northwestern University.",https://events.umich.edu/event/110454,"202 S. Thayer","Institute for the Humanities Osterman Common Room, #1022","202 S. Thayer",,Career,"Institute for the Humanities
University Career Center
Rackham Graduate School"
108873-21820501,"2023-10-12 16:00:00","2023-10-12 17:00:00","PNC Bank Presents: Identity Theft","Aleasa Word/Michael Armenini","Livestream / Virtual","Learn how identity thieves can steal your personal information, what’s at risk when they do, and how to recognize common scams.",https://events.umich.edu/event/108873,"Off Campus Location",,Virtual,,Career,"MCard - Treasurer's Office"
111937-21827937,"2023-10-12 17:30:00","2023-10-12 19:00:00","A Day in the Life of Women at Capital One Panel",,"Careers / Jobs","Are you an undergraduate student or recent grad interested in exploring job opportunities at Capital One? Curious about what it's like working in Tech or Analytics as a woman, or business resource groups such as empowher or Out Front?

Join us for an informative and engaging session where you will learn more about working in Tech and Analytics, followed by a panel discussion where you’ll be able to hear more about #LifeatCapitalOne, ask questions about our exciting opportunities, and interact directly with recruiters and associates who are Michigan alums",https://events.umich.edu/event/111937,"LSA Building",1040,"LSA Building",,Career,"Engineering Career Resource Center
LSA Opportunity Hub"
110856-21825673,"2023-10-16 12:00:00","2023-10-16 13:00:00","Oral Health Sciences Seminar Series","W. Murray Thomson FRSNZ","Workshop / Seminar","Seminar Title: ""Life course research in oral health: contributions, challenges and misuses""

W. Murray Thomson FRSNZ
Emeritus Professor (Dental Epidemiology and Public Health)
Editor-in-Chief, Gerodontology
Faculty of Dentistry
The University of Otago
Dunedin, New Zealand",https://events.umich.edu/event/110856,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
109816-21823034,"2023-10-17 11:00:00","2023-10-17 11:45:00","Microlearning: Impactful Development Conversations","Presenter: Varied","Workshop / Seminar","Course details and registration are available on the Organizational Learning website.",https://events.umich.edu/event/109816,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
110857-21825674,"2023-10-17 12:00:00","2023-10-17 13:00:00","Oral Health Sciences Seminar Series","W. Murray Thomson FRSNZ","Workshop / Seminar","Seminar Title: ""Three decades of xerostomia research: what have we learned?""

W. Murray Thomson FRSNZ
Emeritus Professor (Dental Epidemiology and Public Health)
Editor-in-Chief, Gerodontology
Faculty of Dentistry
The University of Otago
Dunedin, New Zealand",https://events.umich.edu/event/110857,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
112603-21829174,"2023-10-18 09:30:00","2023-10-18 12:00:00","Code Smarter, Not Harder: Harnessing Generative AI for Research Programming Efficiency","Generative AI Tutorial Series","Workshop / Seminar","MIDAS and the Michigan AI Laboratory will jointly offer a training series to researchers across research fields as they start incorporating Generative AI in their research. Each will consist of lectures, demonstrations, and hands-on tutorials for using Generative AI in research.

Code Smarter, Not Harder: Harnessing Generative AI for Research Programming Efficiency

Wednesday, October 18, 2023, 9:30 AM – 12:00 PM

10th Floor, Weiser Hall, 500 Church Street, Ann Arbor

- Prerequisites: Some coding experience.

Using Generative AI to Enhance Coding in Research – Dr. Sindhu Kutty, Lecturer IV in Electrical Engineering and Computer Science, College of Engineering

Tutorial: Using Generative AI to Improve Your Code (focusing on Python but applicable to other languages too) – Dr. Qiyuan Zhao, Research Fellow, Medicinal Chemistry, College of Pharmacy",https://events.umich.edu/event/112603,"Weiser Hall","10th Floor","Weiser Hall",,Career,"Michigan Institute for Data Science
Michigan Artificial Intelligence Laboratory"
109836-21823064,"2023-10-19 12:00:00","2023-10-19 15:00:00","Company Day",,"Careers / Jobs","Company Days provide organizations with an opportunity to recruit Michigan Engineering students and/or have casual conversations to enhance an organization’s visibility and increase brand awareness. Company Days allow students the opportunity to engage with organizations for recruitment and networking purposes.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109836,"Duderstadt Center",,"Duderstadt Center",,Career,"Engineering Career Resource Center"
110855-21825672,"2023-10-19 12:00:00","2023-10-19 13:00:00","Oral Health Sciences Seminar Series","Jianping Fu, Ph.D.","Workshop / Seminar","Seminar Title: Developmental Bioengineering for Building Human Embryo and Organ Models""

Jianping Fu, Ph.D.
Professor of Mechanical Engineering 
Adjunct: Biomedical Engineering, Cell & Developmental Biology
University of MIchigan",https://events.umich.edu/event/110855,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
109975-21823493,"2023-10-20 12:00:00","2023-10-20 13:00:00","Get the Job You Want! Strategies for a Successful Job Search",,"Careers / Jobs","Join the ECRC to devise a strategic plan for your job search. You will learn new techniques for expanding your job search options and best practices for realizing more success in your search. 

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS

This is a College of Engineering event.",https://events.umich.edu/event/109975,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
112452-21828953,"2023-10-20 14:00:00","2023-10-20 15:00:00","Business Administration 101: Introduction to Procurement","Presenter: Varied","Workshop / Seminar","Course registration and details are available on the Organizational Learning website.",https://events.umich.edu/event/112452,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
110460-21824945,"2023-10-23 17:00:00","2023-10-23 18:00:00","ChatGPT for Careers",,"Careers / Jobs","The LinkedIn Guys Present: ChatGPT for Careers, hosted by the Engineering Career Resource Center (ECRC)    

Join Jeremy Schifeling, a Michigan Alum and former LinkedIn insider and hear how ChatGPT can be a tool in your job search that can help to set you on the right path.

Make use of ChatGPT's power user to discover:

How to find your perfect path by exploring different industries based on your major and interests - including getting homework for investigating your fit.

The perfect resume, cover letter, and LinkedIn profile templates for your desired field - including how to get through resume writer’s block every time!

A complete interview coach that guides you from prepping for the most likely questions to composing an amazing thank you letter.

The right balance between AI support and human creativity - since the most successful job-seekers will harness both!

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS

This is a College of Engineering event.",https://events.umich.edu/event/110460,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
109375-21821942,"2023-10-24 12:00:00","2023-10-24 13:00:00","How To Evaluate and Negotiate a Job Offer",,"Careers / Jobs","Getting a job offer can be exciting and stressful at the same time!

Be prepared and join us to learn about the typical process for receiving a job offer, what the common elements of job offers are, and ultimately the best practices for negotiating an offer. Whether you have an offer now or expect an offer in the future, this workshop will provide you with helpful information to empower you during the offer evaluation process.

Be informed and be ready!

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109375,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
110521-21825010,"2023-10-24 18:00:00","2023-10-24 19:00:00","Summer Research Programs",,"Workshop / Seminar","A seminar covering several summer research programs at UofM, including requirements, application deadlines, and funding. This event is hybrid.

RSVP: https://linktr.ee/FIRST_Org",https://events.umich.edu/event/110521,"Biological Sciences Building",1010,"Biological Sciences Building",,Career,"Futures in Research, Science, Teaching - FIRST"
108874-21820502,"2023-10-24 19:00:00","2023-10-24 20:00:00","PNC Bank Presents: Preparing for a Financial Emergency","Audi Buraczewski/Michael Armenini","Livestream / Virtual","Learn how to incorporate an emergency fund into your planning and how to adjust your budget to weather the unexpected.",https://events.umich.edu/event/108874,"Off Campus Location",,Virtual,,Career,"MCard - Treasurer's Office"
109837-21823065,"2023-10-25 12:00:00","2023-10-25 15:00:00","Company Day",,"Careers / Jobs","Company Days provide organizations with an opportunity to recruit Michigan Engineering students and/or have casual conversations to enhance an organization’s visibility and increase brand awareness. Company Days allow students the opportunity to engage with organizations for recruitment and networking purposes.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109837,"Duderstadt Center",,"Duderstadt Center",,Career,"Engineering Career Resource Center"
109006-21820715,"2023-10-26 12:00:00","2023-10-26 13:00:00","Oral Health Sciences Seminar Series","Vincent B. Young, M.D., Ph.D.","Workshop / Seminar","Seminar Title: “Introduction to the microbiome: Healthcare-associated infection (including C. difficile) as a paradigm.”

Dr. Vincent B. Young, M.D., Ph.D.
William Henry Fitzbutler Collegiate Professor
Department of Internal Medicine, Division of Infectious Diseases
Department of Microbiology & Immunology
University of Michigan, Medical School",https://events.umich.edu/event/109006,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
112605-21829176,"2023-10-27 09:00:00","2023-10-27 11:30:00","Integrating Generative Image AI into Your Research Workflow","Generative AI Tutorial Series","Workshop / Seminar","MIDAS and the Michigan AI Laboratory will jointly offer a training series to researchers across research fields as they start incorporating Generative AI in their research. Each will consist of lectures, demonstrations, and hands-on tutorials for using Generative AI in research.

Wednesday, October 27, 2023, 9:00 AM – 11:30 AM
10th Floor, Weiser Hall, 500 Church Street, Ann Arbor

Prerequisites: Some Machine Learning experience.

Generative Image Models in Research – Dr. Jeong Joon Park, Assistant Professor of Electrical Engineering and Computer Science, College of Engineering

Tutorial: Generative Adversarial Networks (GANs) – Anthony Carreon, Graduate Student Research Assistant, Aerospace Engineering, College of Engineering",https://events.umich.edu/event/112605,"Weiser Hall","10th Floor","Weiser Hall",,Career,"Michigan Institute for Data Science
Michigan Artificial Intelligence Laboratory"
109285-21821347,"2023-11-02 13:00:00","2023-11-02 14:00:00","Rock Your LinkedIn Profile","Presenter: Christine Gramlick","Workshop / Seminar","Course details and registration can be found on the Organizational Learning website.",https://events.umich.edu/event/109285,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
110527-21825016,"2023-11-07 18:00:00","2023-11-07 19:00:00","Professor Career Path","Becoming a Professor in the Sciences","Workshop / Seminar","Hear from a biology professor on preparing for (and finding) a tenure-track position, running a research lab, and teaching at a university. This event is hybrid.

RSVP: https://linktr.ee/FIRST_Org",https://events.umich.edu/event/110527,"Biological Sciences Building",1010,"Biological Sciences Building",,Career,"Futures in Research, Science, Teaching - FIRST"
109976-21823494,"2023-11-08 17:30:00","2023-11-08 18:30:00","Get the Job You Want! Strategies for a Successful Job Search",,"Careers / Jobs","Join the ECRC to devise a strategic plan for your job search. You will learn new techniques for expanding your job search options and best practices for realizing more success in your search. 

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS

This is a College of Engineering event.",https://events.umich.edu/event/109976,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
110455-21824940,"2023-11-09 15:00:00","2023-11-09 16:30:00","Cover Letters and Resumes for Diverse Career Pathways in the Humanities Workshop","A Humanities Career Connections Workshop","Workshop / Seminar","Register for this workshop at https://myumi.ch/W24xd.

Presented by the Institute for the Humanities, Rackham Graduate School, and the University Career Center, this series of events is intended to support humanities graduate students from across fields in exploring and preparing for the diverse career paths available to them. Students may attend events individually, but may find it especially helpful to attend each in progression.

About today's workshop:
With a focus on humanities students, this workshop will provide guidance around cover letters and resumes for positions beyond tenure track roles.

The process of synthesizing your academic experiences into strong application materials for jobs beyond academia can be challenging but rewarding. This workshop is a hands-on opportunity for graduate students to learn how to effectively develop a resume using the foundation that they have laid with information and experiences from their CV. The session will also include strategies for writing compelling, tailored cover letters and thinking strategically about how these two documents complement each other.

To make the most of the session, students should come prepared to discuss and workshop ideas, and have a simple list of their recent experiences and skills they might want to highlight (a CV or past resume would also work). 

About the presenters:
Joe Cialdella is the assistant director of internships & public scholarship at Rackham Graduate School. Kirsten Elling is the coordinator for graduate student career advancement and the Rackham embedded career counselor at the University Career Center.",https://events.umich.edu/event/110455,"202 S. Thayer","Institute for the Humanities Osterman Common Room, #1022","202 S. Thayer",,Career,"Institute for the Humanities
University Career Center
Rackham Graduate School"
